# avTemp, avVisc, modeltime, Nu, step, surfVRMS, VRMS, yielding
5.133379277290348597e-01,2.312952516817737433e+03,4.593679615308819339e-03,1.427909960519190058e+01,5.700000000000000000e+02,3.400235799072484610e+02,2.088680908394087510e+02,7.914254685832759761e-02
5.130553604836934900e-01,2.396147519186062254e+03,4.703615753254387216e-03,1.475411037961617744e+01,5.800000000000000000e+02,3.358078204823385136e+02,2.025289382800122553e+02,7.278185480466160817e-02
5.127234545024590417e-01,2.475668531573022392e+03,4.817040789487234999e-03,1.518395118316189851e+01,5.900000000000000000e+02,3.277458618273776096e+02,1.959810882943857280e+02,6.658769501592161355e-02
5.123493851028553259e-01,2.550247057982385286e+03,4.933392911686111139e-03,1.554083968909217184e+01,6.000000000000000000e+02,3.152868980046184788e+02,1.891846953472841903e+02,6.021870681739455861e-02
5.119439359743338525e-01,2.616864541409462618e+03,5.052128067401149246e-03,1.579960621793805942e+01,6.100000000000000000e+02,2.984327638094827648e+02,1.821028817442526417e+02,5.448495226810274455e-02
5.115214712888157544e-01,2.671950927049261736e+03,5.172415480310650279e-03,1.594318064231643284e+01,6.200000000000000000e+02,2.779602083955455214e+02,1.748298960038329994e+02,4.977225233336307619e-02
5.110961266729439068e-01,2.713410194928238525e+03,5.294050874498077916e-03,1.596846899171803180e+01,6.300000000000000000e+02,2.554812985811730357e+02,1.675785785089908302e+02,4.573247073921638678e-02
5.106805160180463155e-01,2.744633099823638531e+03,5.417265849165888748e-03,1.588325163532861239e+01,6.400000000000000000e+02,2.325148575792754855e+02,1.605162814682302042e+02,4.192101253947774775e-02
5.102859370303468589e-01,2.760975894291652367e+03,5.542251922032256743e-03,1.570229770093220978e+01,6.500000000000000000e+02,2.101212462001367385e+02,1.537514267775770804e+02,3.932578109994120524e-02
5.099224379536754226e-01,2.768791051718224935e+03,5.669066681099572090e-03,1.544469900201949919e+01,6.600000000000000000e+02,1.892318048834949593e+02,1.473729476371385658e+02,3.805605078646358275e-02
5.095975504878537121e-01,2.767252523481708067e+03,5.797696834158715812e-03,1.513177605821857696e+01,6.700000000000000000e+02,1.702454869367829815e+02,1.414321746921165186e+02,3.577731275733950222e-02
5.093160595580165095e-01,2.756310261269763942e+03,5.928386702451217752e-03,1.478093082590623020e+01,6.800000000000000000e+02,1.531995088831732801e+02,1.359045862797484290e+02,3.448572516013380385e-02
5.090812227299413850e-01,2.739220571891786676e+03,6.061361936309825164e-03,1.440641584420306742e+01,6.900000000000000000e+02,1.381735932295953262e+02,1.307783154339300893e+02,3.375101202089699631e-02
5.088952949742963083e-01,2.717414972598666736e+03,6.196759084657998094e-03,1.401951163753187579e+01,7.000000000000000000e+02,1.248955984263770347e+02,1.260408228378363589e+02,3.294621759720941373e-02
5.087596554124166337e-01,2.690949485607481165e+03,6.334461109745133552e-03,1.362969601186926560e+01,7.100000000000000000e+02,1.133441344640675652e+02,1.216756070604214131e+02,3.213162803080947538e-02
5.086749293270504957e-01,2.660522748813898033e+03,6.474420916156789149e-03,1.324336582703704401e+01,7.200000000000000000e+02,1.031813933428548893e+02,1.176666271478840287e+02,3.153330849570401551e-02
5.086407489638576918e-01,2.626730888376365783e+03,6.616641369491553168e-03,1.286497765692888784e+01,7.300000000000000000e+02,9.431332752374001416e+01,1.139960159249906297e+02,3.077071332228708059e-02
5.086567034842289781e-01,2.589787677834715396e+03,6.761086961700376805e-03,1.249763728773105775e+01,7.400000000000000000e+02,8.661641704766240935e+01,1.106503840477966918e+02,3.037057806674279409e-02
5.087216289654711288e-01,2.550582461336040524e+03,6.907345914080051733e-03,1.214396185783081883e+01,7.500000000000000000e+02,7.980442686039148725e+01,1.075992183919424718e+02,3.023493922802081291e-02
5.088339127666603456e-01,2.509830281832249511e+03,7.055113412488742825e-03,1.180552539280343183e+01,7.600000000000000000e+02,7.382228051215400910e+01,1.048324250615360285e+02,3.003449472121269906e-02
5.089913400232152219e-01,2.467882784044510117e+03,7.204203995438699520e-03,1.148289918665012443e+01,7.700000000000000000e+02,6.859054603359665236e+01,1.023217467027197216e+02,3.004052460750522915e-02
5.091918805575207374e-01,2.424819657312837535e+03,7.354494895813224430e-03,1.117609563720001908e+01,7.800000000000000000e+02,6.401961799660080032e+01,1.000372622658774162e+02,3.007518893809445898e-02
