# avTemp, avVisc, modeltime, Nu, step, surfVRMS, VRMS, yielding
5.114425823893005152e-01,3.021417843357273796e+03,2.976196280169060224e-03,1.086474678412232997e+00,3.800000000000000000e+02,1.128658349052873078e+01,1.140239140760889427e+02,2.984532385279473760e-02
5.121092905769515369e-01,3.013358940234379133e+03,3.094823001382611058e-03,1.091267881936543560e+00,3.900000000000000000e+02,1.136408389574261513e+01,1.124844666238526258e+02,2.988149368002753284e-02
5.127922680099520347e-01,3.005216980783887266e+03,3.214607327122852645e-03,1.096210788453213514e+00,4.000000000000000000e+02,1.143896036338160194e+01,1.111211583811775654e+02,3.010605110305023674e-02
5.134904015169664548e-01,2.997000436847603851e+03,3.335382695965718233e-03,1.101302423814449538e+00,4.100000000000000000e+02,1.151166528114676701e+01,1.099121386516142707e+02,3.031252411352062387e-02
5.142028565357860126e-01,2.988766340240762020e+03,3.457011955780331901e-03,1.106542976823925661e+00,4.200000000000000000e+02,1.158559997383326134e+01,1.088400240510894292e+02,3.037958981910067816e-02
5.149289248585973144e-01,2.980477709502470134e+03,3.579382110526232574e-03,1.111933812558391521e+00,4.300000000000000000e+02,1.165353665992657817e+01,1.078868248218779087e+02,3.036527170699663408e-02
5.156679499145103707e-01,2.972119361631500851e+03,3.702412586984523898e-03,1.117478121408765901e+00,4.400000000000000000e+02,1.171914243258162180e+01,1.070263220946374645e+02,3.048207156992772948e-02
5.164195950167206339e-01,2.963627663546182248e+03,3.826059488074697555e-03,1.123181442392403362e+00,4.500000000000000000e+02,1.178304717108863464e+01,1.062455221373621868e+02,3.066518394459428684e-02
5.171834233997739672e-01,2.955043726343249546e+03,3.950301961829523825e-03,1.129051123466820794e+00,4.600000000000000000e+02,1.184510541612395507e+01,1.055304212452460746e+02,3.075485666818141006e-02
5.179593338188723806e-01,2.946366906488003679e+03,4.075140258819266031e-03,1.135096233303552582e+00,4.700000000000000000e+02,1.190518763647535216e+01,1.048564530725723927e+02,3.084226789039119440e-02
5.187469953653575105e-01,2.937578806056065787e+03,4.200572134226669349e-03,1.141326650178521751e+00,4.800000000000000000e+02,1.196369788787721511e+01,1.042416420894172120e+02,3.084151385761409875e-02
5.195459848608393605e-01,2.928676452888177209e+03,4.326587278135399922e-03,1.147752836231936246e+00,4.900000000000000000e+02,1.202076628540967640e+01,1.036747586439340836e+02,3.094701068823003942e-02
5.203560917263364560e-01,2.919616832625272309e+03,4.453178386113107110e-03,1.154386450412864029e+00,5.000000000000000000e+02,1.207702109432844040e+01,1.031633702163068733e+02,3.100729437769577518e-02
5.211761351498329642e-01,2.910415855195271888e+03,4.580280787007293478e-03,1.161236899975019110e+00,5.100000000000000000e+02,1.212735672278016708e+01,1.027054189420680217e+02,3.107661995086945933e-02
5.220057130636301945e-01,2.901042014246068902e+03,4.707852621557147114e-03,1.168315389460432785e+00,5.200000000000000000e+02,1.218196616367524143e+01,1.023115291520076227e+02,3.111806510400254994e-02
5.228440507867331277e-01,2.891525893903433825e+03,4.835819609180011004e-03,1.175631629629625197e+00,5.300000000000000000e+02,1.223599565813468892e+01,1.019840108618690806e+02,3.115498845968233191e-02
5.236903013311067223e-01,2.881834872784561412e+03,4.964100044759309910e-03,1.183195065755646924e+00,5.400000000000000000e+02,1.228997863996120898e+01,1.017253229884392596e+02,3.121527204129179167e-02
5.245434490393808824e-01,2.871948933638971539e+03,5.092603620534422691e-03,1.191014486005988582e+00,5.500000000000000000e+02,1.234416070106857433e+01,1.015325498751485185e+02,3.124465908447544849e-02
5.254027540966684784e-01,2.861839970145153529e+03,5.221261690540474239e-03,1.199099833177784236e+00,5.600000000000000000e+02,1.239929969087460826e+01,1.013992727375793521e+02,3.127404695134973489e-02
5.262674582492570252e-01,2.851560784850318669e+03,5.350013517302453295e-03,1.207461073370468485e+00,5.700000000000000000e+02,1.245495737618264265e+01,1.013181795252156974e+02,3.135241559558097496e-02
5.271369317635652418e-01,2.841087804381150818e+03,5.478815992192936912e-03,1.216108528535325473e+00,5.800000000000000000e+02,1.251137930941354348e+01,1.012830585346180072e+02,3.128384130050195638e-02
5.280106268137798597e-01,2.830446387237989256e+03,5.607640829841436560e-03,1.225052952744301704e+00,5.900000000000000000e+02,1.256865331358564219e+01,1.012825028486667946e+02,3.140064182943876764e-02
5.288881231631036295e-01,2.819643022005441253e+03,5.736474972652814280e-03,1.234305329929453077e+00,6.000000000000000000e+02,1.262650854382600585e+01,1.013117505854023932e+02,3.148654616083310792e-02
5.297689923886610419e-01,2.808640394306903545e+03,5.865308663430097817e-03,1.243876090232236331e+00,6.100000000000000000e+02,1.268542295993801616e+01,1.013678723774934838e+02,3.167417982084090589e-02
5.306528609123637441e-01,2.797432163027783645e+03,5.994138204686711574e-03,1.253775496958186686e+00,6.200000000000000000e+02,1.274552945478805910e+01,1.014449523834784799e+02,3.162595163072328547e-02
5.315394935730173298e-01,2.786044743389453288e+03,6.122968761614269381e-03,1.264013537819688171e+00,6.300000000000000000e+02,1.280666035323725893e+01,1.015326192003888792e+02,3.174275166594810876e-02
5.324286962727712291e-01,2.774481337374831128e+03,6.251803180765628382e-03,1.274599183719528073e+00,6.400000000000000000e+02,1.286897331248522214e+01,1.016461572853083339e+02,3.184749499947035767e-02
5.333199664368933890e-01,2.762777051518784447e+03,6.380623314812642298e-03,1.285538575316043319e+00,6.500000000000000000e+02,1.293210699764219562e+01,1.017832109323492205e+02,3.187763697114236877e-02
5.342129032287312729e-01,2.750937210637961471e+03,6.509417997633845307e-03,1.296837070360112421e+00,6.600000000000000000e+02,1.299595620913946448e+01,1.019432657236232842e+02,3.182940888361209669e-02
5.351071038135430946e-01,2.738949646893909176e+03,6.638170567053651959e-03,1.308498361111740005e+00,6.700000000000000000e+02,1.306070649924511606e+01,1.021273230653570607e+02,3.187462184111600899e-02
5.360021602221325399e-01,2.726804940164999607e+03,6.766858611466732010e-03,1.320524522532729783e+00,6.800000000000000000e+02,1.312676341157746052e+01,1.023377114696553321e+02,3.190551640277598106e-02
5.368976105255387488e-01,2.714499769893331177e+03,6.895450277036178736e-03,1.332915658200974907e+00,6.900000000000000000e+02,1.319432712370268668e+01,1.025767573365792060e+02,3.213007431894877169e-02
5.377929894622677232e-01,2.702040599343847134e+03,7.023910055816108208e-03,1.345670069477902242e+00,7.000000000000000000e+02,1.326328777084237842e+01,1.028483684543000152e+02,3.217905482771900999e-02
5.386878094729877775e-01,2.689454341509145252e+03,7.152202231821278185e-03,1.358784511884036705e+00,7.100000000000000000e+02,1.333340980959535216e+01,1.031473234207607845e+02,3.223933831839088243e-02
5.395817558870115160e-01,2.676730957192553433e+03,7.280304224986483899e-03,1.372255934432441871e+00,7.200000000000000000e+02,1.340520695115042216e+01,1.034709608188540102e+02,3.220542753852097956e-02
5.404744809293905439e-01,2.663910517110784440e+03,7.408192331827903772e-03,1.386080103368502403e+00,7.300000000000000000e+02,1.347824701049108320e+01,1.038175881289468094e+02,3.221371620555155829e-02
5.413656885852172751e-01,2.651008857906611865e+03,7.535849371598621511e-03,1.400252094539006231e+00,7.400000000000000000e+02,1.355226181303814137e+01,1.041854560168175965e+02,3.219487692600798978e-02
5.422552049644198124e-01,2.637963446968825338e+03,7.663271959949924383e-03,1.414767811671869380e+00,7.500000000000000000e+02,1.362828303266307550e+01,1.045651760175039016e+02,3.237120610578628904e-02
5.431428740409205425e-01,2.624771262540081352e+03,7.790459032611508558e-03,1.429623512720007650e+00,7.600000000000000000e+02,1.370670245648407537e+01,1.049564720520038321e+02,3.243827165802142670e-02
5.440285593389998509e-01,2.611476482191915238e+03,7.917412202195734522e-03,1.444814854391797132e+00,7.700000000000000000e+02,1.378705390218745030e+01,1.053586519491600342e+02,3.243827047821447318e-02
5.449121415742993468e-01,2.598079347417467488e+03,8.044135443171986088e-03,1.460337494204784869e+00,7.800000000000000000e+02,1.386959768590642028e+01,1.057661235577747760e+02,3.243826966839694764e-02
5.457935395792723465e-01,2.584582013718377766e+03,8.170635113447410197e-03,1.476186987887161628e+00,7.900000000000000000e+02,1.395457718942994063e+01,1.061804136317693263e+02,3.242771884869350557e-02
5.466726608430694245e-01,2.571008446252471913e+03,8.296914921883847757e-03,1.492358767464135871e+00,8.000000000000000000e+02,1.404220060156673533e+01,1.066015313848444777e+02,3.249553823122496021e-02
5.475493493983037974e-01,2.557364729051997983e+03,8.422972524080109963e-03,1.508846712170555771e+00,8.100000000000000000e+02,1.413160868306654372e+01,1.070318686872869023e+02,3.262288771593836734e-02
5.484234982844755635e-01,2.543640782855883117e+03,8.548806993107067875e-03,1.525644508242046449e+00,8.200000000000000000e+02,1.422316764398779654e+01,1.074704336108211891e+02,3.281127523272319574e-02
5.492949951497241301e-01,2.529837840179045543e+03,8.674416335774025669e-03,1.542745664080259482e+00,8.300000000000000000e+02,1.431706098248529990e+01,1.079077728515861310e+02,3.281202791821781484e-02
5.501638431425283082e-01,2.515978769495298820e+03,8.799804072600442631e-03,1.560144346559916961e+00,8.400000000000000000e+02,1.441299158054573759e+01,1.083662037499959183e+02,3.281202739962416071e-02
